1.7965e-05,25.376,0,0,4.029
1.7965e-05,25.376,0,0,4.029
1.7965e-05,25.377,0,0,4.0289
1.7965e-05,26.078,0,0,4.029
1.7965e-05,26.078,0,0,4.029
1.7965e-05,26.078,0,0,4.0292
1.7965e-05,25.14,0,0,4.0292
1.7965e-05,25.139,0,0,4.0292
1.7965e-05,25.139,0,0,4.0292
1.7965e-05,26.058,0,0,4.0291
1.7965e-05,26.059,0,0,4.0291
1.7965e-05,26.059,0,0,4.0291
1.7965e-05,25.166,0,0,4.0291
1.7965e-05,25.165,0,0,4.029
1.7965e-05,25.165,0,0,4.0289
1.7965e-05,25.83,0,0,4.029
1.7965e-05,25.83,0,0,4.029
1.7965e-05,25.546,0,0,4.0289
1.7965e-05,25.546,0,0,4.0289
1.7965e-05,25.546,0,0,4.0289
1.7965e-05,25.375,0,0,4.0289
1.7965e-05,25.375,0,0,4.029
1.7965e-05,25.375,0,0,4.0289
1.7965e-05,26.016,0,0,4.029
1.7965e-05,26.017,0,0,4.0291
1.7965e-05,26.017,0,0,4.0291
1.7965e-05,25.102,0,0,4.0291
1.7965e-05,25.101,0,0,4.0291
1.7965e-05,25.102,0,0,4.0291
1.7965e-05,26.004,0,0,4.0291
1.7965e-05,26.004,0,0,4.0291
1.7965e-05,26.004,0,0,4.029
1.7965e-05,25.467,0,0,4.029
1.7965e-05,25.466,0,0,4.0289
1.7965e-05,25.385,0,0,4.0288
1.7965e-05,25.385,0,0,4.0289
1.7965e-05,25.385,0,0,4.0288
1.7965e-05,26.003,0,0,4.0288
1.7965e-05,26.003,0,0,4.0289
1.7965e-05,26.003,0,0,4.0289
1.7965e-05,25.147,0,0,4.0288
1.7965e-05,25.145,0,0,4.0289
1.7965e-05,25.145,0,0,4.029
1.7965e-05,25.654,0,0,4.029
1.7965e-05,25.654,0,0,4.029
1.7965e-05,25.654,0,0,4.029
1.7965e-05,25.922,0,0,4.029
1.7965e-05,25.922,0,0,4.029
1.7965e-05,25.922,0,0,4.029
1.7965e-05,25.073,0,0,4.029
1.7965e-05,25.071,0,0,4.029
1.7965e-05,25.071,0,0,4.0288
1.7965e-05,25.847,0,0,4.0288
1.7965e-05,25.847,0,0,4.0288
1.7965e-05,25.71,0,0,4.0288
1.7965e-05,25.71,0,0,4.0288
1.7965e-05,25.71,0,0,4.0288
1.7965e-05,25.113,0,0,4.0288
1.7965e-05,25.112,0,0,4.0288
1.7965e-05,25.113,0,0,4.0288
1.7965e-05,25.914,0,0,4.0289
1.7965e-05,25.914,0,0,4.029
1.7965e-05,25.914,0,0,4.029
1.7965e-05,25.658,0,0,4.029
1.7965e-05,25.658,0,0,4.0289
1.7965e-05,25.658,0,0,4.0289
1.7965e-05,25.083,0,0,4.0289
1.7965e-05,25.082,0,0,4.0289
1.7965e-05,25.082,0,0,4.0289
1.7965e-05,25.798,0,0,4.0288
1.7965e-05,25.798,0,0,4.0287
1.7965e-05,25.805,0,0,4.0287
1.7965e-05,25.805,0,0,4.0287
1.7965e-05,25.805,0,0,4.0288
1.7965e-05,25.049,0,0,4.0287
1.7965e-05,25.049,0,0,4.0287
1.7965e-05,25.049,0,0,4.0287
1.7965e-05,25.791,0,0,4.0287
1.7965e-05,25.791,0,0,4.0288
1.7965e-05,25.791,0,0,4.0289
1.7965e-05,25.866,0,0,4.0289
1.7965e-05,25.866,0,0,4.0289
1.7965e-05,25.865,0,0,4.0289
1.7965e-05,25.106,0,0,4.0289
1.7965e-05,25.106,0,0,4.0289
1.7965e-05,25.106,0,0,4.0289
1.7965e-05,25.508,0,0,4.0289
1.7965e-05,25.508,0,0,4.0288
1.7965e-05,25.999,0,0,4.0288
1.7965e-05,26,0,0,4.0287
1.7965e-05,26,0,0,4.0287
1.7965e-05,25.177,0,0,4.0287
1.7965e-05,25.175,0,0,4.0286
1.7965e-05,25.175,0,0,4.0287
1.7965e-05,25.47,0,0,4.0286
1.7965e-05,25.47,0,0,4.0286
1.7965e-05,25.47,0,0,4.0287
1.7965e-05,26.012,0,0,4.0287
1.7965e-05,26.012,0,0,4.0287
1.7965e-05,26.011,0,0,4.0288
1.7965e-05,25.149,0,0,4.0288
1.7965e-05,25.149,0,0,4.0288
1.7965e-05,25.149,0,0,4.0288
1.7965e-05,25.414,0,0,4.0288
1.7965e-05,25.414,0,0,4.0288
1.7965e-05,25.975,0,0,4.0288
1.7965e-05,25.976,0,0,4.0287
1.7965e-05,25.975,0,0,4.0286
1.7965e-05,25.162,0,0,4.0286
1.7965e-05,25.162,0,0,4.0286
1.7965e-05,25.162,0,0,4.0286
1.7965e-05,25.376,0,0,4.0286
1.7965e-05,25.376,0,0,4.0286
1.7965e-05,25.376,0,0,4.0287
1.7965e-05,25.967,0,0,4.0286
1.7965e-05,25.967,0,0,4.0286
1.7965e-05,25.967,0,0,4.0287
1.7965e-05,25.189,0,0,4.0287
1.7965e-05,25.188,0,0,4.0287
1.7965e-05,25.188,0,0,4.0288
1.7965e-05,25.379,0,0,4.0288
1.7965e-05,25.379,0,0,4.0288
1.7965e-05,25.379,0,0,4.0288
1.7965e-05,25.934,0,0,4.0287
1.7965e-05,25.934,0,0,4.0288
1.7965e-05,25.083,0,0,4.0287
1.7965e-05,25.083,0,0,4.0285
1.7965e-05,25.083,0,0,4.0286
1.7965e-05,25.631,0,0,4.0285
1.7965e-05,25.632,0,0,4.0285
1.7965e-05,25.632,0,0,4.0285
1.7965e-05,25.785,0,0,4.0286
1.7965e-05,25.785,0,0,4.0285
1.7965e-05,25.785,0,0,4.0285
