Ah,T,P,V,Time
-0.04566,24.18646,-13.145904747,4.07845,89.0059947967529
-0.04656,24.18646,-7.2947012218,4.08013,90.0089967995882
-0.04706,24.18646,-3.2637336032,4.09564,90.9959960728884
-0.04728,24.18646,-3.6906311232,4.10508,91.9999938458204
-0.04762,24.18646,-5.2068444344,4.10188,92.9939936846495
-0.04797,24.18646,-9.1557446958,4.10154,94.005997851491
-0.04859,24.18646,-10.5678645744,4.08856,94.9989918619394
-0.0496,24.18646,0.020816607,4.0737,95.9969948977232
-0.04957,24.18646,0.6518905236,4.11651,96.9990011304617
-0.04943,24.18646,2.1904327934,4.12309,98.0009973049164
-0.04938,24.29162,-0.0210553462,4.12042,99.0109998732805
-0.05025,24.29162,-16.9265870157,4.08333,99.9959975481033
-0.0514,24.29162,-16.6558387385,4.07069,100.998999550939
-0.05245,24.29162,-14.287942944,4.0744,102.00199149549
-0.05325,24.29162,-11.279721408,4.08165,103.009992465377
-0.0539,24.18646,-8.936238894,4.08738,103.995000198483
-0.05428,24.18646,0,4.09766,104.996000602841
-0.05415,24.18646,2.5994304393,4.12039,105.994999408722
-0.05388,24.18646,0,4.1268,106.996995583177
-0.0545,24.18646,-9.9144584703,4.09041,107.997000217438
-0.05537,24.18646,-17.0813080574,4.07794,109.01199169457
-0.05655,24.18646,-17.3205208408,4.06564,110.004995763302
-0.05776,24.18646,-17.627814438,4.06227,110.995998233557
-0.05911,24.18646,-19.2940711095,4.05485,111.996998637915
-0.06025,24.18646,-16.235463984,4.06176,113.001992180943
-0.0611,24.18646,-3.6647207904,4.07626,114.004994183779
-0.06135,24.0813,0.0209303045,4.09595,115.002001449466
-0.06122,24.18646,29.042997515,4.16675,115.996997058392
-0.05881,24.18646,32.8881775089,4.19979,117.002996429801
-0.05674,24.18646,29.3567171645,4.19945,118.015000596642
-0.05486,24.18646,26.932668641,4.19945,119.006998836994
-0.05314,24.18646,24.9892395388,4.19911,120.003000274301
-0.05151,24.18646,23.336658785,4.19894,121.004996448755
-0.05,24.18646,17.960059534,4.1981,122.013993188739
-0.04882,24.18646,11.837786594,4.18681,122.999996691942
-0.04803,24.18646,11.654692086,4.17484,123.996993899345
-0.04763,24.18646,2.2724828712,4.15764,125.004994869232
-0.0476,24.18646,-0.0211699124,4.14284,126.001992076635
-0.04766,24.18646,-1.035601232,4.13744,127.016993612051
-0.04773,24.29162,-1.035223279,4.13593,128.007996082306
-0.0478,24.29162,-1.0244239525,4.13491,128.99799272418
-0.04787,24.29162,-1.034757721,4.13407,130.00399209559
-0.04794,24.29162,-1.034547469,4.13323,131.011993065476
-0.04801,24.29162,-1.034419816,4.13272,131.995994970202
-0.04808,24.29162,-1.044831827,4.13222,132.999992743134
-0.04815,24.29162,-1.034209564,4.13188,133.994998410344
-0.04822,24.29162,-1.034124462,4.13154,134.998996183276
-0.04829,24.29162,-1.034041863,4.13121,135.993991792202
-0.04836,24.29162,-1.0444904795,4.13087,137.003994360566
-0.04843,24.29162,-1.03391421,4.1307,137.996998429298
-0.0485,24.29162,-1.044361526,4.13036,139.001991972327
-0.04857,24.29162,-1.0443185415,4.13019,140.013000369072
-0.04864,24.29162,-1.033746509,4.13003,140.997998043895
-0.04871,24.39678,-1.033703958,4.12986,142.005999013782
-0.04878,24.39678,-1.0441921165,4.12969,143.002000451088
-0.04885,24.39678,-1.033618856,4.12952,143.996000289917
-0.04892,24.39678,-1.0441061475,4.12935,144.997996464372
-0.04899,24.39678,-1.044063163,4.12918,146.012997999787
-0.04906,24.39678,-1.033533754,4.12918,146.996999904513
-0.04913,24.39678,-1.0440201785,4.12901,148.001993447542
-0.0492,24.39678,-1.0439797225,4.12885,149.004995450377
-0.04927,24.39678,-1.033451155,4.12885,149.996993690729
